Nr.,Bezeichnung,Hinterlegung
74,"""bad ischl SPEZIAL"" (BIZ)",28.06.1991
75,"""BADEN KREATIV""",06.12.1993
76,"""BASIS GRAZ""",12.01.2005
77,"""Basisdemokratische Liste (BDL)""",24.12.1986
78,"""Basisinitiative Pharmazie"", Abkürzung ""BIP""",25.03.1991
79,"""Befreiung der Produktivkräfte""",29.12.1980
80,"""Bewegung 5. November""",10.10.1980
81,"""Bewegung für soziale Befreiung""",11.05.2000
82,"""Bewegung Zukunft Vorarlberg (BZV)""",14.04.2005
83,"""BIO"" Überparteiliche Bürgerinitiativen Organisation",21.06.1994
84,"""BLA - Bürgerliste Lambach""",04.02.1991
85,"""BRAVO ÖSTERREICH""",30.10.1983
86,"""Bruck 2001 (Grün-Soziale Stadtpartei)""",18.01.1990
87,"""Bund freier Patienten (BFP) Bürgerinitiative für freie Heilkunde, freie Therapiewahl ua Patientengrundrechte"", ",11.10.1995
88,"""BUND GEGEN ANPASSUNG""",16.05.1988
89,"""BUND UNABHÄNGIGER STUDENTEN (BUS)""",12.05.1982
90,"""BÜNDNIS 2000""",20.10.1995
91,"""Bündnis '93"", Abkürzung ""B 93""",13.11.1992
92,"""Bündnis 94"", Abkürzung ""B 94""",13.11.1992
93,"""Bündnis 95"", Abkürzung ""B 95""",13.11.1992
94,"""Bündnis '96"", Abkürzung ""B 96""",13.11.1992
95,"""Bündnis für die Zukunft Österreichs (BZÖ)""",04.04.2005
96,"""BÜNDNIS NEUTRALES FREIES ÖSTERREICH"", Kurzbezeichnung ""NFÖ""",17.03.2003
97,"""Bündnis radikaler Organisationen - (B.Ü.R.O.)""",26.11.1992
98,"""Bündnis Zukunft Österreich - Tirol (BZÖ-T)""",21.07.2005
99,"""Bündnis Zukunft Österreich - Vorarlberg (BZÖ - Vorarlberg)""",25.07.2005
100,"""Bündnis Zukunft Österreich (BZÖ)""",04.04.2005
101,"""Bündnis Zukunft Österreich Landesgruppe Wien - Die Stadtpartei (Kurzbezeichnung: BZÖ Wien)""",07.04.2005
102,"""Bündnis Zukunft Österreich Salzburg (BZÖ Salzburg)""",04.05.2005
103,"""bunte hilfe""",10.02.1983
104,"""BÜRGERAKTION '90 für mehr Gerechtigkeit"", Kurzbezeichnung ""B90""",19.03.1990
105,"""Bürgeranwaltschaft""",04.06.1997
106,"""Bürgerbewegung Österreich stoppt die Politiker""",28.07.2008
107,"""Bürgerbewegung Österreich""",28.07.2008
108,"""Bürgerbewegung Rettet Österreich""",28.07.2008
109,"""BÜRGERFORUM '90 für mehr Gerechtigkeit"", Kurzbezeichnung ""F90""",19.03.1990
110,"""Bürgerforum Österreich Liste Fritz Dinkhauser""",21.08.2008
111,"""Bürgerforum Sollenau""",13.12.1989
112,"""Bürgerforum Tirol - Liste Fritz""",22.04.2008
113,"""Bürgerforum""",07.03.1991
114,"""Bürgerinitiative Demokratisch Leben (B.D.L.)""",22.03.1991
115,"""Bürgerinitiative gegen den Verkauf Österreichs an die EG"" Partei zur Erhaltung der Selbständigkeit Österreichs",26.01.1993
116,"""Bürgerinitiative 'Nein zu EWR & EG' Partei zur Verbreitung von kritischem EWR und EG Informationsmaterial""",01.10.1993
117,"""Bürgerinitiative Österreich""",28.07.2008
118,"""Bürgerinitiative Parlament""",05.12.1985
119,"""BÜRGERINITIATIVE ÜBERLEBEN""",18.01.1983
120,"""Bürgerinitiativen Österreichs""",28.07.2008
121,"""BÜRGERLICHE GRÜNE ÖSTERREICHS - LANDESVERBAND NIEDERÖSTERREICH"", Kurzbezeichnung ""BGÖ""",05.09.1983
122,"""BÜRGERLICHE GRÜNE ÖSTERREICHS (BGÖ)""",22.11.1993
123,"""Bürgerliche Grüne Österreichs (BGÖ), Landesverband Wien"", Kurzbezeichnung ""BGÖ""",18.08.1992
124,"""BÜRGERLISTE ENZESFELD-LINDABRUNN""",23.04.1990
125,"""Bürgerliste Mensch & Natur""",28.09.1994
126,"""Bürgerliste Österreich""",28.07.2008
127,"""Bürgerliste Österreichs"", Abkürzung ""BLÖ""",18.06.1986
128,"""BÜRGERLISTE PETRONELL""",03.04.1989
129,"""BÜRGERLISTE SCHREINER""",30.12.1994
130,"""Bürgernahe Partei Österreich - Landesgruppe Vorarlberg""",27.11.2003
131,"""BÜRGER-PARLAMENTS-BEWEGUNG""",19.03.1985
